phase,T_celsius,T_K,elem_a,elem_b,omega_Jmol,z_bcc,lsq_xmin,lsq_xmax,lsq_npts
BCC_A2,670,943.15,NB,SI,-18624.33603276207,8,0.05,0.95,19
BCC_A2,670,943.15,NB,TI,1749.9127189546284,8,0.05,0.95,19
BCC_A2,670,943.15,NB,W,-4292.660893284736,8,0.05,0.95,19
BCC_A2,670,943.15,NI,SI,-25630.12333324075,8,0.05,0.95,19
BCC_A2,670,943.15,NI,TI,-12139.483307666753,8,0.05,0.95,19
BCC_A2,670,943.15,NI,W,0.94984859702445,8,0.05,0.95,19
BCC_A2,670,943.15,SI,TI,-32959.589898193386,8,0.05,0.95,19
BCC_A2,670,943.15,SI,W,2.2886176587216952e-07,8,0.05,0.95,19
BCC_A2,670,943.15,TI,W,222.65353006694008,8,0.05,0.95,19
BCC_A2,690,963.15,CR,CU,1.7905184186788965,8,0.05,0.95,19
BCC_A2,690,963.15,CR,FE,3552.7197238287104,8,0.05,0.95,19
BCC_A2,690,963.15,CR,MN,-2532.11575313139,8,0.05,0.95,19
BCC_A2,690,963.15,CR,MO,1722.5511477339635,8,0.05,0.95,19
BCC_A2,690,963.15,CR,NB,720.8508459567648,8,0.05,0.95,19
BCC_A2,690,963.15,CR,NI,562.8092998630796,8,0.05,0.95,19
BCC_A2,690,963.15,CR,SI,-13066.571910757826,8,0.05,0.95,19
BCC_A2,690,963.15,CR,TI,1497.538139567564,8,0.05,0.95,19
BCC_A2,690,963.15,CR,W,441.68983917780645,8,0.05,0.95,19
BCC_A2,690,963.15,CU,FE,169.6410077136908,8,0.05,0.95,19
BCC_A2,690,963.15,CU,MN,2294.1544505186534,8,0.05,0.95,19
BCC_A2,690,963.15,CU,MO,2.1031298867090896e-08,8,0.05,0.95,19
BCC_A2,690,963.15,CU,NB,65.06126032433357,8,0.05,0.95,19
BCC_A2,690,963.15,CU,NI,1076.5849934982198,8,0.05,0.95,19
BCC_A2,690,963.15,CU,SI,-3235.242639912308,8,0.05,0.95,19
BCC_A2,690,963.15,CU,TI,-1.3389754498091232e-08,8,0.05,0.95,19
BCC_A2,690,963.15,CU,W,2.2960710711889883e-08,8,0.05,0.95,19
BCC_A2,690,963.15,FE,MN,1229.70964313566,8,0.05,0.95,19
BCC_A2,690,963.15,FE,MO,947.982142071,8,0.05,0.95,19
BCC_A2,690,963.15,FE,NB,883.2609060621005,8,0.05,0.95,19
BCC_A2,690,963.15,FE,NI,779.5994643903127,8,0.05,0.95,19
BCC_A2,690,963.15,FE,SI,-17154.718108491314,8,0.05,0.95,19
BCC_A2,690,963.15,FE,TI,-5853.659769359858,8,0.05,0.95,19
BCC_A2,690,963.15,FE,W,259.59507785727146,8,0.05,0.95,19
BCC_A2,690,963.15,MN,MO,1262.5525507788166,8,0.05,0.95,19
BCC_A2,690,963.15,MN,NB,12.614894303117804,8,0.05,0.95,19
